Name,Nickname,URL,Division,Record,Status,Place of Birth,Trains at,Age,Height,Weight,Octagon Debut,Reach,Sig. Strikes Landed,Sig. Strikes Attempted,Takedowns Landed,Takedowns Attempted,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Standing,Clinch,Ground,KO/TKO,DEC,SUB,head total,head percent,body total,body percent,leg total,leg percent,First Round Finishes,Fighting style,Leg reach,wins,losses,draws
Khamzat Chimaev,Borz,https://www.ufc.com/athlete/khamzat-chimaev,Welterweight Division,12-0-0 (W-L-D),Active,Sweden,,28,74.00,178.50,"Jul. 15, 2020",75.00,220,369,4,14,7.30,3.98,3.98,3.49,41%,100%,1.00,301,91,11,118,6,61,5,192,87%,16,7%,12,5%,8,Freestyle,40.00,12,0,0
Sako Chivitchian,The Psycho,https://www.ufc.com/athlete/sako-chivitchian,Lightweight Division,5-1-0 (W-L-D),Not Fighting,Armenia,,,71.00,156.00,"Dec. 05, 2010",,36,132,,1,2.40,4.80,0.00,0.00,47%,100%,0.00,900,25,11,0,0,0,0,26,72%,6,17%,4,11%,NA,,,5,1,0
Seungwoo Choi,Sting,https://www.ufc.com/athlete/seungwoo-choi,Featherweight Division,10-6-0 (W-L-D),Active,"Gangneung, South Korea",,30,72.00,145.60,"Apr. 20, 2019",74.50,303,813,2,10,3.43,3.19,0.85,0.00,45%,67%,0.68,662,194,65,44,6,4,0,197,65%,75,25%,31,10%,4,MMA,43.00,10,6,0
SeungGuk Choi,,https://www.ufc.com/athlete/seungguk-choi,Flyweight Division,6-2-0 (W-L-D),Active,South Korea,Korean Zombie MMA,26,66.00,125.50,"Jun. 09, 2022",64.00,99,249,,11,2.29,2.50,1.04,0.00,60%,85%,0.35,864,78,1,20,2,3,0,51,52%,12,12%,36,36%,2,Wrestling,35.50,6,2,0
Dooho Choi,The Korean Superboy,https://www.ufc.com/athlete/dooho-choi,Featherweight Division,14-4-1 (W-L-D),Active,South Korea,Gumi MMA,31,70.00,145.50,"Nov. 22, 2014",70.00,245,459,1,5,4.74,4.91,0.29,0.00,54%,50%,1.16,443,178,29,38,11,2,1,157,64%,52,21%,36,15%,3,Striker,39.00,14,4,1
John Cholish,,https://www.ufc.com/athlete/john-cholish,Lightweight Division,8-3-0 (W-L-D),Not Fighting,"Hackettstown, United States",,39,71.00,156.00,"Dec. 10, 2011",,109,220,,16,2.65,2.29,1.82,0.36,73%,79%,0.00,617,78,9,22,0,0,0,70,64%,16,15%,23,21%,NA,,,8,3,0
Ryo Chonan,Piranha,https://www.ufc.com/athlete/ryo-chonan,Welterweight Division,15-10-0 (W-L-D),Not Fighting,"Yamagata City, Japan",,46,69.00,171.00,"Nov. 17, 2007",,152,401,,4,2.53,6.48,0.50,0.00,61%,39%,0.00,900,99,20,33,0,0,0,84,55%,41,27%,27,18%,NA,,,15,10,0
Katlyn Chookagian,Blonde Fighter,https://www.ufc.com/athlete/katlyn-chookagian,Women's Flyweight Division,18-5-0 (W-L-D),Active,"Quakertown, United States",Renzo Gracie Academy,34,69.00,127.50,"Jul. 14, 2016",68.00,1038,3007,,26,4.59,4.41,0.27,0.33,63%,54%,0.07,847,917,63,58,2,15,1,633,61%,248,24%,157,15%,2,MMA,42.00,18,5,0
Will Chope,The Kill,https://www.ufc.com/athlete/will-chope,Featherweight Division,19-6-0 (W-L-D),Not Fighting,"Sacramento, United States",,32,76.00,146.00,"Jan. 04, 2014",76.00,33,121,,5,4.43,9.93,0.00,0.00,47%,NA,0.00,447,28,5,0,5,3,11,23,70%,2,6%,8,24%,NA,,,19,6,0
Joachim Christensen,,https://www.ufc.com/athlete/joachim-christensen,Light Heavyweight Division,14-6-0 (W-L-D),Not Fighting,"Copenhagen, Denmark",,44,75.00,206.00,"Oct. 02, 2016",76.00,93,225,,2,3.78,3.29,0.00,0.00,46%,NA,1.22,370,49,26,18,5,4,5,68,73%,19,20%,6,6%,NA,,43.00,14,6,0
