Name,Nickname,URL,Division,Record,Status,Place of Birth,Trains at,Age,Height,Weight,Octagon Debut,Reach,Sig. Strikes Landed,Sig. Strikes Attempted,Takedowns Landed,Takedowns Attempted,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense,Takedown Defense,Knockdown Avg,Average fight time,Standing,Clinch,Ground,KO/TKO,DEC,SUB,head total,head percent,body total,body percent,leg total,leg percent,First Round Finishes,Fighting style,Leg reach,wins,losses,draws
Dan Christison,The Sandman,https://www.ufc.com/athlete/dan-christison,Heavyweight Division,8-5-0 (W-L-D),Not Fighting,"Los Angeles, United States",,50,80.00,265.00,"Apr. 06, 2006",,121,233,,,4.23,3.88,0.00,1.05,55%,38%,0.00,859,78,36,7,0,0,0,65,54%,18,15%,38,31%,NA,,,8,5,0
Anthony Christodoulou,,https://www.ufc.com/athlete/anthony-christodoulou,Lightweight Division,12-6-0 (W-L-D),Not Fighting,United States,,35,69.00,156.00,"Jan. 24, 2015",72.00,40,150,,1,2.19,5.90,0.00,0.00,45%,40%,0.00,549,33,7,0,4,4,4,29,73%,6,15%,5,13%,NA,,,12,6,0
Yui Chul Nam,The Korean Bulldozer,https://www.ufc.com/athlete/yui-chul-nam,Featherweight Division,18-6-1 (W-L-D),Not Fighting,South Korea,,41,69.00,146.00,"Mar. 01, 2014",69.00,159,310,,25,3.53,2.00,1.33,0.33,48%,57%,1.00,900,43,81,35,8,9,1,107,67%,37,23%,15,9%,NA,,41.00,18,6,1
Cameron Church,,https://www.ufc.com/athlete/cameron-church,Lightweight Division,0-1-0 (W-L-D),Active,"Tracy, United States",,32,,155.50,"Apr. 20, 2023",,60,149,,,4.00,4.93,0.00,1.00,50%,60%,0.00,900,57,3,0,0,0,0,33,55%,15,25%,12,20%,NA,,,0,1,0
Mike Ciesnolevicz,Mike C,https://www.ufc.com/athlete/mike-ciesnolevicz,Light Heavyweight Division,18-4-1 (W-L-D),Not Fighting,"Harrisburg, United States",,43,73.00,208.00,"Feb. 21, 2009",74.00,3,6,,2,0.51,4.62,0.00,5.13,58%,20%,0.00,176,3,0,0,0,0,0,3,100%,0,0%,0,0%,NA,,,18,4,1
Hannah Cifers,Shockwave,https://www.ufc.com/athlete/hannah-cifers,Women's Strawweight Division,10-7-0 (W-L-D),Retired,"Oxford, United States",,30,61.00,117.00,"Nov. 10, 2018",62.00,291,654,,1,4.99,5.39,0.26,0.26,53%,65%,0.51,500,215,65,11,5,5,0,128,44%,90,31%,73,25%,NA,,35.00,10,7,0
Misha Cirkunov,,https://www.ufc.com/athlete/misha-cirkunov,Light Heavyweight Division,15-9-0 (W-L-D),Not Fighting,"Riga, Latvia","Xtreme Couture - Las Vegas, NV",36,75.00,206.00,"Aug. 23, 2015",77.00,237,457,9,43,3.86,3.06,4.15,1.71,58%,77%,0.00,284,135,52,50,5,2,8,153,65%,57,24%,27,11%,11,Brazilian Jiu-Jitsu,43.50,15,9,0
Logan Clark,The Pink Pounder,https://www.ufc.com/athlete/logan-clark,Middleweight Division,9-0-0 (W-L-D),Not Fighting,"Rochester, United States",,38,74.00,186.00,"Dec. 13, 2006",,108,197,,1,2.20,1.49,0.31,2.14,54%,31%,0.00,735,14,41,53,0,0,0,80,74%,25,23%,3,3%,NA,,,9,0,0
Laverne Clark,,https://www.ufc.com/athlete/laverne-clark,Welterweight Division,0-0-0 (W-L-D),Not Fighting,"Davenport, United States",,49,0.00,0.00,"Mar. 13, 1998",,,,,,,,,,,,,0,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,0,0,0
Jessica-Rose Clark,,https://www.ufc.com/athlete/jessica-rose-clark,Women's Bantamweight Division,11-8-0 (W-L-D),Active,Australia,CSA Gym,35,65.00,135.50,"Nov. 18, 2017",64.50,377,721,4,21,4.02,3.59,1.76,0.32,59%,64%,0.00,703,263,50,64,3,6,2,246,65%,62,16%,69,18%,NA,Freestyle,39.00,11,8,0
