Event,Fighter,Opponent,Opening_odds,Close_odds1,Close_odds2,Movement
UFC Fight Night 92: Rodriguez vs. Caceres Aug 6th 2016,Dennis Bermudez,Rony Jason,-230,-300,-280,-6.7%▼
UFC Fight Night 83: Cowboy vs. Cowboy Feb 21st 2016,Dennis Bermudez,Tatsuya Kawajiri,-385,-360,-355,+1.5%▲
UFC 189: Mendes vs. McGregor Jul 11th 2015,Dennis Bermudez,Jeremy Stephens,-190,-245,-240,-8.1%▼
UFC 180: Werdum vs. Hunt Nov 15th 2014,Dennis Bermudez,Ricardo Lamas,-185,-175,-165,+3%▲
UFC on FOX 12: Lawler vs. Brown Jul 26th 2014,Dennis Bermudez,Clay Guida,-185,-175,-161,+3.4%▲
UFC 171: Hendricks vs. Lawler Mar 15th 2014,Dennis Bermudez,Jimy Hettes,-175,-270,-260,-14.1%▼
UFC Fight Night 31: Fight For The Troops III Nov 6th 2013,Dennis Bermudez,Steven Siler,-215,-200,-190,+3.2%▲
UFC 160: Velasquez vs. Silva II May 25th 2013,Dennis Bermudez,Max Holloway,-210,-325,-295,-11.6%▼
UFC 157: Rousey vs. Carmouche Feb 23rd 2013,Dennis Bermudez,Matt Grice,-350,-410,-400,-3.1%▼
UFC 150: Henderson vs. Edgar II Aug 11th 2012,Dennis Bermudez,Tom Hayden,-490,-330,-315,+8.1%▲
UFC on FOX 3: Diaz vs. Miller May 5th 2012,Dennis Bermudez,Pablo Garza,-190,-115,-110,+19%▲
UFC: The Ultimate Fighter 14 Finale Dec 3rd 2011,Dennis Bermudez,Diego Brandao,+260,+290,+290,+7.7%▲
UFC on ESPN 6: Reyes vs. Weidman Oct 18th 2019,Manny Bermudez,Charles Rosa,+105,-185,-170,-30.7%▼
UFC 241: Cormier vs. Miocic 2 Aug 17th 2019,Manny Bermudez,Casey Kenney,-245,-172,-163,+11.7%▲
UFC on ESPN 1: Ngannou vs. Velasquez Feb 17th 2019,Manny Bermudez,Benito Lopez,-305,-200,-175,+13.3%▲
UFC Fight Night 134: Shogun vs. Smith Jul 22nd 2018,Manny Bermudez,Davey Grant,-275,-320,-275,-2.1%▼
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Manny Bermudez,Albert Morales,-245,-180,-175,+9.8%▲
UFC 140: Jones vs. Machida Dec 10th 2011,Dennis Hallman,John Makdessi,-120,+142,+142,+24.2%▲
UFC 133: Evans vs. Ortiz 2 Aug 6th 2011,Dennis Hallman,Brian Ebersole,+160,+115,+115,-20.9%▼
UFC 123: Rampage vs. Machida Nov 20th 2010,Dennis Hallman,Karo Parisyan,+115,+140,+140,+10.4%▲
UFC 117: Silva vs. Sonnen Aug 7th 2010,Dennis Hallman,Ben Saunders,+130,+250,+250,+34.3%▲
UFC: The Ultimate Fighter 10 Finale Dec 5th 2009,Dennis Hallman,John Howard,+190,+210,+210,+6.5%▲
UFC Fight Night 112: Chiesa vs. Lee Jun 25th 2017,Dennis Siver,B.J. Penn,-180,-135,-133,+10.9%▲
UFC Fight Night 69: Jedrzejczyk vs. Penne Jun 20th 2015,Dennis Siver,Tatsuya Kawajiri,-135,-155,-150,-5.3%▼
UFC Fight Night 59: McGregor vs. Siver Jan 18th 2015,Dennis Siver,Conor McGregor,+400,+675,+775,+39.4%▲
UFC Fight Night 53: Nelson vs. Story Oct 4th 2014,Dennis Siver,Charles Rosa,-280,-300,-290,-1.4%▼
UFC 168: Weidman vs. Silva II Dec 28th 2013,Dennis Siver,Manny Gamburyan,-210,-310,-285,-10.5%▼
UFC 162: Silva vs. Weidman Jul 6th 2013,Dennis Siver,Cub Swanson,+145,+155,+167,+6.1%▲
UFC on FOX 5: Henderson vs. Diaz Dec 8th 2012,Dennis Siver,Nam Phan,-300,-300,-290,+0.4%▲
UFC on FUEL TV 2: Gustafsson vs. Silva Apr 14th 2012,Dennis Siver,Diego Nunes,+170,+170,+170,0%
UFC 137: Penn vs. Diaz Oct 29th 2011,Dennis Siver,Donald Cerrone,-175,+215,+215,+50.1%▲
UFC 132: Cruz vs. Faber Jul 2nd 2011,Dennis Siver,Matt Wiman,-165,-105,-105,+17.7%▲
UFC 127: Penn vs. Fitch Feb 26th 2011,Dennis Siver,George Sotiropoulos,+240,+325,+325,+20%▲
UFC 122: Marquardt vs. Okami Nov 13th 2010,Dennis Siver,Andre Winner,-130,+105,+105,+13.7%▲
UFC: The Ultimate Fighter 11 Finale Jun 19th 2010,Dennis Siver,Spencer Fisher,+160,+165,+165,+1.9%▲
UFC Fight Night 21: Florian vs. Gomi Mar 31st 2010,Dennis Siver,Ross Pearson,+155,+180,+180,+8.9%▲
UFC 105: Couture vs Vera Nov 14th 2009,Dennis Siver,Paul Kelly,+270,+280,+280,+2.6%▲
UFC 99: The Comeback Jun 13th 2009,Dennis Siver,Dale Hartt,-140,-185,-185,-11.3%▼
UFC 93: Franklin vs Henderson Jan 17th 2009,Dennis Siver,Nate Mohr,-160,-165,-165,-1.2%▼
UFC 86: Jackson vs Griffin Jul 5th 2008,Dennis Siver,Melvin Guillard,+180,+173,+173,-2.6%▼
UFC Fight Night 12: Swick vs Burkman Jan 23rd 2008,Dennis Siver,Gray Maynard,+300,+300,+300,0%
UFC 75: Champion vs Champion Sep 8th 2007,Dennis Siver,Naoyuki Kotani,+175,+180,+180,+1.8%▲
UFC Fight Night 100: Bader vs. Nogueira Nov 19th 2016,Manny Gamburyan,Johnny Eduardo,+145,+120,+122,-10.9%▼
UFC on FOX 19: Evans vs. Teixeira Apr 16th 2016,Manny Gamburyan,John Dodson,+335,+385,+400,+11.8%▲
UFC Fight Night 71: Mir vs. Duffee Jul 15th 2015,Manny Gamburyan,Scott Jorgensen,-180,-200,-195,-3.4%▼
UFC 178: Johnson vs. Cariaso Sep 27th 2014,Manny Gamburyan,Cody Gibson,+100,+140,+145,+17.7%▲
UFC Fight Night 40: Brown vs. Silva May 10th 2014,Manny Gamburyan,Nik Lentz,+235,+420,+460,+38%▲
UFC 168: Weidman vs. Silva II Dec 28th 2013,Manny Gamburyan,Dennis Siver,+160,+225,+280,+26.3%▲
UFC on FOX 4: Shogun vs. Vera Aug 4th 2012,Manny Gamburyan,Michihiro Omigawa,-140,-200,-190,-13.3%▼
UFC 141: Lesnar vs. Overeem Dec 30th 2011,Manny Gamburyan,Diego Nunes,+250,+195,+195,-18.6%▼
UFC On Versus 4 Jun 26th 2011,Manny Gamburyan,Tyson Griffin,+165,+215,+215,+15.9%▲
UFC 94: St-Pierre vs Penn 2 Jan 31st 2009,Manny Gamburyan,Thiago Tavares,-110,+105,+105,+6.9%▲
UFC 87: Seek And Destroy Aug 9th 2008,Manny Gamburyan,Rob Emerson,-270,-320,-320,-4.4%▼
UFC Fight Night 13: Florian vs Lauzon Apr 2nd 2008,Manny Gamburyan,Jeff Cox,-800,-750,-750,+0.7%▲
UFC 79: Nemesis Dec 29th 2007,Manny Gamburyan,Nate Mohr,-325,-500,-500,-9%▼
UFC: The Ultimate Fighter 5 Finale Jun 23rd 2007,Manny Gamburyan,Nate Diaz,,,,
UFC 237: Namajunas vs. Andrade May 11th 2019,Talita Bernardo,Viviane Araujo,-265,-285,-280,-1.8%▼
UFC Fight Night 138: Volkan vs. Smith Oct 27th 2018,Talita Bernardo,Sarah Moras,+205,+140,+150,-24%▼
UFC Fight Night 124: Stephens vs. Choi Jan 14th 2018,Talita Bernardo,Irene Aldana,+180,+115,+125,-27.3%▼
UFC on FX 3: Johnson vs. McCall Jun 8th 2012,Bernardo Magalhaes,Henry Martinez,+160,+205,+210,+15.6%▲
UFC on FUEL TV 1: Ellenberger vs. Sanchez Feb 15th 2012,Bernardo Magalhaes,Tim Means,-210,-125,-125,+18%▲
UFC Fight Night 115: Volkov vs. Struve Sep 2nd 2017,Talita de Oliveira,Marion Reneau,+220,+250,+260,+9.9%▲
UFC 157: Rousey vs. Carmouche Feb 23rd 2013,Anton Kuivanen,Michael Chiesa,+165,+160,+175,+1.1%▲
UFC 149: Faber vs. Barao Jul 21st 2012,Anton Kuivanen,Mitch Clarke,-150,-175,-165,-4.9%▼
UFC on FUEL TV 1: Ellenberger vs. Sanchez Feb 15th 2012,Anton Kuivanen,Justin Salas,+110,+130,+130,+8.7%▲
UFC Fight Night 221 Mar 11th 2023,Anton Turkalj,Vitor Petrino,+145,-115,+102,-26.1%▼
UFC 279 Sep 10th 2022,Anton Turkalj,Jailton Almeida,+750,+450,+540,-43.1%▼
UFC: The Ultimate Fighter 23 Finale: Team Joanna vs. Team Claudia Jul 8th 2016,Anton Zafir,Li Jingliang,+250,+250,+255,+0.8%▲
UFC 193: Rousey vs. Holm Nov 14th 2015,Anton Zafir,James Moontasri,+210,+310,+325,+25.8%▲
UFC on ESPN 23: Reyes vs. Prochazka May 1st 2021,K.B. Bhullar,Andreas Michailidis,+155,+165,+188,+7.9%▲
UFC on ESPN+ 37: Moraes vs. Sandhagen Oct 10th 2020,Kb Bhullar,Tom Breese,+165,+175,+187,+5.7%▲
UFC on ESPN+ 9: Iaquinta vs. Cowboy May 4th 2019,Arjan Bhullar,Juan Adams,-110,+110,+126,+12%▲
UFC Fight Night 138: Volkan vs. Smith Oct 27th 2018,Arjan Bhullar,Marcelo Golm,-175,-161,-160,+3.3%▲
UFC on FOX 29: Poirier vs. Gaethje Apr 14th 2018,Arjan Bhullar,Adam Wieczorek,-150,-335,-325,-27.9%▼
UFC 215: Nunes vs. Shevchenko 2 Sep 9th 2017,Arjan Bhullar,Luis Henrique,-190,-210,-205,-3.1%▼
UFC 284 Feb 11th 2023,Blake Bilder,Shane Young,+110,+120,+130,+7.1%▲
UFC Fight Night 122: Bisping vs. Gastelum Nov 25th 2017,Michael Bisping,Kelvin Gastelum,+170,+225,+243,+19.2%▲
UFC Fight Night 84: Silva vs. Bisping Feb 27th 2016,Michael Bisping,Anderson Silva,+230,+210,+235,-2.2%▼
UFC Fight Night 72: Bisping vs. Leites Jul 18th 2015,Michael Bisping,Thales Leites,-140,-135,-133,+1.8%▲
UFC 186: Johnson vs. Horiguchi Apr 25th 2015,Michael Bisping,C.B. Dollaway,-185,-155,-145,+7.6%▲
UFC Fight Night 55: Rockhold vs. Bisping Nov 7th 2014,Michael Bisping,Luke Rockhold,+350,+380,+450,+12.6%▲
UFC Fight Night 48: Bisping vs. Le Aug 23rd 2014,Michael Bisping,Cung Le,-260,-250,-235,+1.9%▲
UFC: The Ultimate Fighter Nations Finale Apr 16th 2014,Michael Bisping,Tim Kennedy,-165,-205,-200,-7.6%▼
UFC 217: Bisping vs. St-Pierre Nov 4th 2017,Michael Bisping,Georges St-Pierre,+130,-120,-115,-24.5%▼
UFC 204: Bisping vs. Henderson 2 Oct 8th 2016,Michael Bisping,Dan Henderson,-240,-260,-235,-1%▼
UFC 199: Rockhold vs. Bisping II Jun 4th 2016,Michael Bisping,Luke Rockhold,+600,+525,+575,-7.7%▼
UFC 159: Jones vs. Sonnen Apr 27th 2013,Michael Bisping,Alan Belcher,-190,-175,-175,+2.9%▲
UFC on FX 7: Belfort vs. Bisping Jan 19th 2013,Michael Bisping,Vitor Belfort,+120,-110,+111,-9.5%▼
UFC 152: Jones vs. Belfort Sep 22nd 2012,Michael Bisping,Brian Stann,-165,-200,-195,-6.7%▼
UFC on FOX 2 Jan 28th 2012,Michael Bisping,Chael Sonnen,+350,+340,+340,-2.3%▼
UFC: The Ultimate Fighter 14 Finale Dec 3rd 2011,Michael Bisping,Jason Miller,-240,-192,-192,+6.8%▲
UFC 127: Penn vs. Fitch Feb 26th 2011,Michael Bisping,Jorge Rivera,-210,-290,-290,-9.8%▼
UFC 120: Bisping vs. Akiyama Oct 16th 2010,Michael Bisping,Yoshihiro Akiyama,-280,-210,-210,+8.1%▲
UFC 114: Jackson vs. Evans May 29th 2010,Michael Bisping,Dan Miller,-150,-195,-195,-10.2%▼
UFC 110: Nogueira vs. Velasquez Feb 21st 2010,Michael Bisping,Wanderlei Silva,+130,+170,+170,+14.8%▲
UFC 105: Couture vs Vera Nov 14th 2009,Michael Bisping,Denis Kang,+125,+120,+120,-2.3%▼
UFC 100 Jul 11th 2009,Michael Bisping,Dan Henderson,+330,+185,+185,-50.9%▼
UFC 89: Bisping vs Leben Oct 18th 2008,Michael Bisping,Chris Leben,-170,-230,-230,-10.7%▼
UFC 85: Bedlam Jun 7th 2008,Michael Bisping,Jason Day,-360,-360,-360,0%
UFC 83: Serra vs St-Pierre 2 Apr 19th 2008,Michael Bisping,Charles McCarthy,-330,-360,-360,-2%▼
UFC 78: Validation Nov 17th 2007,Michael Bisping,Rashad Evans,+170,+243,+243,+21.3%▲
UFC 75: Champion vs Champion Sep 8th 2007,Michael Bisping,Matt Hamill,-240,-250,-250,-1.2%▼
UFC 274: Oliveira vs. Gaethje May 7th 2022,Michael Chandler,Tony Ferguson,-155,-400,-333,-28.9%▼
UFC 268: Usman vs. Covington 2 Nov 6th 2021,Michael Chandler,Justin Gaethje,+120,+165,+180,+20%▲
UFC 262: Oliveira vs. Chandler May 15th 2021,Michael Chandler,Charles Oliveira,+146,+100,+120,-17.1%▼
UFC 257: Poirier vs. McGregor 2 Jan 23rd 2021,Michael Chandler,Dan Hooker,+140,+115,+145,-3%▼
UFC Fight Night: Vieira vs. Tate Nov 20th 2021,Michael Chiesa,Sean Brady,+120,+140,+170,+14.7%▲
UFC 265: Lewis vs. Gane Aug 7th 2021,Michael Chiesa,Vicente Luque,+140,-115,-102,-26.3%▼
UFC on ESPN 20: Chiesa vs. Magny Jan 20th 2021,Michael Chiesa,Neil Magny,+130,+120,+132,-1.8%▼
UFC 239: Jones vs. Santos Jul 6th 2019,Michael Chiesa,Diego Sanchez,-275,-556,-380,-11.3%▼
UFC 232: Jones vs. Gustafsson 2 Dec 29th 2018,Michael Chiesa,Carlos Condit,-125,-125,+100,+4.5%▲
UFC 226: Miocic vs. Cormier Jul 7th 2018,Michael Chiesa,Anthony Pettis,-150,-175,-164,-4.9%▼
UFC Fight Night 112: Chiesa vs. Lee Jun 25th 2017,Michael Chiesa,Kevin Lee,-120,+125,+135,+20.3%▲
UFC on FOX 19: Evans vs. Teixeira Apr 16th 2016,Michael Chiesa,Beneil Dariush,+160,+142,+145,-6.6%▼
UFC Fight Night 80: VanZant vs. Namajunas Dec 10th 2015,Michael Chiesa,Jim Miller,-140,-150,-150,-2.9%▼
UFC Fight Night 63: Mendes vs. Lamas Apr 4th 2015,Michael Chiesa,Mitch Clarke,-350,-420,-400,-3.4%▼
UFC Fight Night 50: Souza vs. Mousasi Sep 5th 2014,Michael Chiesa,Joe Lauzon,+100,-220,-210,-36.5%▼
UFC 173: Barao vs. Dillashaw May 24th 2014,Michael Chiesa,Francisco Trinaldo,-170,-150,-150,+4.7%▲
UFC on ESPN+ 24: Blaydes vs. Dos Santos Jan 25th 2020,Michael Chiesa,Rafael Dos Anjos,+165,+170,+185,+4.7%▲
UFC Fight Night 31: Fight For The Troops III Nov 6th 2013,Michael Chiesa,Colton Smith,-260,-140,-120,+21.7%▲
UFC on FOX 8: Johnson vs. Moraga Jul 27th 2013,Michael Chiesa,Jorge Masvidal,+160,+230,+255,+24.2%▲
UFC 157: Rousey vs. Carmouche Feb 23rd 2013,Michael Chiesa,Anton Kuivanen,-215,-190,-180,+4.9%▲
UFC: The Ultimate Fighter 15 Finale Jun 1st 2012,Michael Chiesa,Al Iaquinta,+200,+225,+240,+9.9%▲
UFC: The Ultimate Fighter 15 Episode 12 May 25th 2012,Michael Chiesa,James Vick,+130,+130,+140,+2.1%▲
UFC: The Ultimate Fighter 15 Episode 10 May 11th 2012,Michael Chiesa,Justin Lawrence,+220,+260,+261,+11.4%▲
UFC: The Ultimate Fighter 15 Episode 5 Apr 6th 2012,Michael Chiesa,Jeremy Larsen,-410,-390,-390,+1%▲
UFC Fight Night 224 Apr 29th 2023,Caio Borralho,Michar Oleksiejczuk,-245,-375,-340,-10.1%▼
UFC 281 Oct 22nd 2022,Caio Borralho,Makhmud Muradov,-200,-232,-210,-3.3%▼
UFC on ESPN: dos Anjos vs. Fiziev Jul 9th 2022,Caio Borralho,Armen Petrosyan,-300,-270,-161,+5.2%▲
UFC Fight Night: UFC Fight Night 206 Apr 16th 2022,Caio Borralho,Gadzhi Omargadzhiev,+130,-105,+110,-13.3%▼
UFC Fight Night 201 Jan 15th 2022,Caio Borralho,Jamie Pickett,-275,-275,-275,
UFC 203: Miocic vs. Overeem Sep 10th 2016,Caio Magalhaes,Brad Tavares,+160,+170,+180,+5.5%▲
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson Jul 12th 2015,Caio Magalhaes,Josh Samman,-165,-120,-118,+12.7%▲
UFC Fight Night 56: Shogun vs. St. Preux Nov 8th 2014,Caio Magalhaes,Trevor Smith,-175,-290,-280,-16.3%▼
UFC on FOX 11: Werdum vs. Browne Apr 19th 2014,Caio Magalhaes,Luke Zachrich,-280,-310,-295,-2%▼
UFC Fight Night 33: Hunt vs. Bigfoot Dec 6th 2013,Caio Magalhaes,Nick Ring,+170,+160,+165,-2.7%▼
UFC on FUEL TV 10: Nogueira vs. Werdum 2 Jun 8th 2013,Caio Magalhaes,Karlos Vemola,+145,+105,+115,-16.7%▼
UFC on FX 3: Johnson vs. McCall Jun 8th 2012,Caio Magalhaes,Buddy Roberts,-105,+115,+120,+10.4%▲
UFC Fight Night 224 Apr 29th 2023,Ricky Simon,Song Yadong,-140,-128,-115,+6.1%▲
UFC on ABC: Ortega vs. Rodriguez Jul 16th 2022,Ricky Simon,Jack Shore,-105,+138,+164,+21.3%▲
UFC Fight Night: Lewis vs. Daukaus Dec 18th 2021,Ricky Simon,Raphael Assuncao,-210,-350,-275,-10.9%▼
UFC 258: Usman vs. Burns Feb 13th 2021,Ricky Simon,Brian Kelleher,-300,-250,-235,+5.2%▲
UFC on ESPN 20: Chiesa vs. Magny Jan 20th 2021,Ricky Simon,Gaetano Pirrello,-285,-525,-450,-12.3%▼
UFC on ESPN+ 29: Smith vs. Teixeira May 13th 2020,Ricky Simon,Ray Borg,+105,-172,-155,-27.3%▼
UFC on ESPN+ 13: De Randamie vs. Ladd Jul 13th 2019,Ricky Simon,Urijah Faber,-195,-357,-345,-17.8%▼
UFC 234: Adesanya vs. Silva Feb 9th 2019,Ricky Simon,Rani Yahya,+135,-111,-105,-22.6%▼
UFC Fight Night 128: Barboza vs. Lee Apr 21st 2018,Ricky Simon,Merab Dvalishvili,-245,-110,-110,+26.2%▲
UFC on ESPN 7: Overeem vs. Rozenstruik Dec 7th 2019,Ricky Simon,Rob Font,+130,+112,+130,-3.6%▼
UFC 227: Dillashaw vs. Garbrandt 2 Aug 4th 2018,Ricky Simon,Montel Jackson,-175,+105,+110,+24.5%▲
UFC 77: Hostile Territory Oct 20th 2007,Jason Black,Matt Grice,-330,-310,-310,+1.5%▲
UFC 96: Jackson vs Jardine Mar 7th 2009,Jason Day,Kendall Grove,+180,+165,+165,-5.7%▼
UFC 85: Bedlam Jun 7th 2008,Jason Day,Michael Bisping,+270,+300,+300,+7.5%▲
UFC 83: Serra vs St-Pierre 2 Apr 19th 2008,Jason Day,Alan Belcher,+315,+310,+310,-1.2%▼
UFC 84: Ill Will May 24th 2008,Jason Tan,Dong Hyun Kim,+260,+230,+230,-9.1%▼
UFC 72: Victory Jun 16th 2007,Jason Tan,Marcus Davis,,,,
UFC 139: Shogun vs. Henderson Nov 19th 2011,Jason Brilz,Ryan Bader,+260,+345,+345,+19.1%▲
UFC 129: St-Pierre vs. Shields Apr 30th 2011,Jason Brilz,Vladimir Matyushenko,-160,-108,-108,+15.6%▲
UFC 114: Jackson vs. Evans May 29th 2010,Jason Brilz,Antonio Rogerio Nogueira,+450,+435,+435,-2.8%▼
UFC on Versus 1: Vera vs. Jones Mar 21st 2010,Jason Brilz,Eric Schafer,-165,-160,-160,+1.2%▲
UFC 103: Franklin vs Belfort Sep 19th 2009,Jason Brilz,Eliot Marshall,-135,-150,-150,-4.4%▼
UFC 96: Jackson vs Jardine Mar 7th 2009,Jason Brilz,Tim Boetsch,+120,+150,+150,+12%▲
UFC Fight Night 15: Diaz vs Neer Sep 17th 2008,Jason Brilz,Brad Morris,-270,-260,-260,+1%▲
UFC 106: Ortiz vs Griffin 2 Nov 21st 2009,Jason Dent,George Sotiropoulos,+350,+380,+380,+6.3%▲
UFC: The Ultimate Fighter 9 Finale Jun 20th 2009,Jason Dent,Cameron Dollar,-275,-200,-200,+9.1%▲
UFC 112: Invincible Apr 10th 2010,Brad Blackburn,Damarques Johnson,-170,-160,-160,+2.3%▲
UFC Fight Night 20: Maynard vs Diaz Jan 11th 2010,Brad Blackburn,Amir Sadollah,+135,+125,+125,-4.4%▼
UFC: The Ultimate Fighter 9 Finale Jun 20th 2009,Brad Blackburn,Edgar Garcia,-135,-120,-120,+5.1%▲
UFC 92: The Ultimate 2008 Dec 27th 2008,Brad Blackburn,Ryo Chonan,+145,+140,+140,-2.1%▼
UFC Fight Night 14: Silva vs Irvin Jul 19th 2008,Brad Blackburn,James Giboo,-215,-220,-220,-0.7%▼
UFC on ESPN+ 16: Cowboy vs. Gaethje Sep 14th 2019,Brad Katona,Hunter Azure,-185,-139,-130,+11.5%▲
UFC on ESPN+ 9: Iaquinta vs. Cowboy May 4th 2019,Brad Katona,Merab Dvalishvili,-230,+138,+140,+40%▲
UFC 231: Holloway vs. Ortega Dec 8th 2018,Brad Katona,Matthew Lopez,-215,-175,-155,+9.2%▲
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya Jul 6th 2018,Brad Katona,Jay Cucciniello,-145,-265,-260,-22.4%▼
UFC Fight Night 15: Diaz vs Neer Sep 17th 2008,Brad Morris,Jason Brilz,+210,+220,+220,+3.1%▲
UFC 83: Serra vs St-Pierre 2 Apr 19th 2008,Brad Morris,Cain Velasquez,+190,+210,+210,+6.5%▲
UFC Fight Night 107: Manuwa vs. Anderson Mar 18th 2017,Brad Pickett,Marlon Vera,-185,-150,-149,+7.6%▲
UFC on FOX 22: VanZant vs. Waterson Dec 17th 2016,Brad Pickett,Urijah Faber,+280,+280,+295,+2.1%▲
UFC 204: Bisping vs. Henderson 2 Oct 8th 2016,Brad Pickett,Iuri Alcantara,+120,+130,+138,+6%▲
UFC Fight Night 84: Silva vs. Bisping Feb 27th 2016,Brad Pickett,Francisco Rivera,+165,+135,+135,-12.8%▼
UFC 189: Mendes vs. McGregor Jul 11th 2015,Brad Pickett,Thomas Almeida,+315,+500,+525,+32.3%▲
UFC Fight Night 57: Edgar vs. Swanson Nov 22nd 2014,Brad Pickett,Chico Camus,-210,-180,-175,+5.5%▲
UFC Fight Night 46: McGregor vs. Brandao Jul 19th 2014,Brad Pickett,Ian McCall,+100,+135,+149,+17.4%▲
UFC Fight Night 37: Gustafsson vs. Manuwa Mar 8th 2014,Brad Pickett,Neil Seery,-505,-1000,-1000,-8.9%▼
UFC Fight Night 26: Shogun vs. Sonnen Aug 17th 2013,Brad Pickett,Michael McDonald,+165,+240,+290,+27.4%▲
UFC on Fuel TV 9: Mousasi vs. Latifi Apr 6th 2013,Brad Pickett,Mike Easton,-180,-160,-145,+5.9%▲
UFC 155: Dos Santos vs. Velasquez II Dec 29th 2012,Brad Pickett,Eddie Wineland,-160,+130,+145,+31.7%▲
UFC on FUEL TV 5: Struve vs. Miocic Sep 29th 2012,Brad Pickett,Yves Jabouin,-260,-160,-156,+15.2%▲
UFC on FUEL TV 2: Gustafsson vs. Silva Apr 14th 2012,Brad Pickett,Damacio Page,-220,-280,-280,-7.2%▼
UFC 138: Leben vs. Munoz Nov 5th 2011,Brad Pickett,Renan Barao,+105,+115,+115,+4.7%▲
UFC 281 Nov 12th 2022,Brad Riddell,Renato Moicano,-110,-105,+125,+7.8%▲
UFC 276: Adesanya vs. Cannonier Jul 2nd 2022,Brad Riddell,Jalin Turner,+150,+120,+140,-9.6%▼
UFC Fight Night: Font vs. Aldo Dec 4th 2021,Brad Riddell,Rafael Fiziev,-130,-105,+122,+14.1%▲
UFC 263: Adesanya vs. Vettori 2 Jun 12th 2021,Brad Riddell,Drew Dober,+120,+120,+128,+1.8%▲
UFC 253: Adesanya vs. Costa Sep 26th 2020,Brad Riddell,Alex da Silva,-240,-340,-333,-9.3%▼
UFC 243: Whittaker vs. Adesanya Oct 5th 2019,Brad Riddell,Jamie Mullarkey,-135,-172,-161,-8.6%▼
UFC on ESPN+ 26: Felder vs. Hooker Feb 22nd 2020,Brad Riddell,Magomed Mustafaev,+325,+110,+125,-95%▼
UFC Fight Night 223 Apr 22nd 2023,Brad Tavares,Bruno Silva,-130,-175,-160,-10.9%▼
UFC 283 Jan 21st 2023,Brad Tavares,Gregory Rodrigues,+175,+190,+190,+5.2%▲
UFC 276: Adesanya vs. Cannonier Jul 2nd 2022,Brad Tavares,Dricus Du Plessis,-130,+130,+160,+28.1%▲
UFC 264: Poirier vs. McGregor 3 Jul 10th 2021,Brad Tavares,Omari Akhmedov,-190,-165,-128,+7.5%▲
UFC 257: Poirier vs. McGregor 2 Jan 23rd 2021,Brad Tavares,Antonio Carlos Junior,-120,+100,+110,+10.1%▲
UFC 244: Masvidal vs. Diaz Nov 2nd 2019,Brad Tavares,Edmen Shahbazyan,+175,+137,+160,-9.6%▼
UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya Jul 6th 2018,Brad Tavares,Israel Adesanya,-120,-109,-105,+5.2%▲
UFC on FOX 29: Poirier vs. Gaethje Apr 14th 2018,Brad Tavares,Krzysztof Jotko,-190,+107,+110,+27%▲
UFC 216: Ferguson vs. Lee Oct 7th 2017,Brad Tavares,Thales Leites,-185,-178,-175,+1.6%▲
UFC 203: Miocic vs. Overeem Sep 10th 2016,Brad Tavares,Caio Magalhaes,-210,-220,-200,0%
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Brad Tavares,Robert Whittaker,-245,-138,-135,+18.6%▲
UFC 182: Jones vs. Cormier Jan 3rd 2015,Brad Tavares,Nate Marquardt,-120,-130,-125,-2.9%▼
UFC Fight Night 47: Bader vs. Saint Preux Aug 16th 2014,Brad Tavares,Tim Boetsch,-270,-315,-305,-3.6%▼
UFC on FOX 11: Werdum vs. Browne Apr 19th 2014,Brad Tavares,Yoel Romero,+100,-153,-145,-19.7%▼
UFC: The Ultimate Fighter 25 Finale: Johnson vs. Gaethje Jul 7th 2017,Brad Tavares,Elias Theodorou,+135,-115,-115,-25.7%▼
UFC Fight Night 35: Rockhold vs. Philippou Jan 15th 2014,Brad Tavares,Lorenz Larkin,+160,+240,+240,+23.5%▲
UFC Fight Night 27: Condit vs. Kampmann II Aug 28th 2013,Brad Tavares,Robert McDaniel,-350,-525,-500,-7.6%▼
UFC on Fuel TV 8: Silva vs. Stann Mar 2nd 2013,Brad Tavares,Riki Fukuda,-120,-125,-120,-1.1%▼
UFC on FUEL TV 5: Struve vs. Miocic Sep 29th 2012,Brad Tavares,Tom Watson,-175,-170,-160,+2.2%▲
UFC on FUEL TV 3: Korean Zombie vs. Poirier May 15th 2012,Brad Tavares,Dongi Yang,-205,-160,-155,+8.9%▲
UFC 132: Cruz vs. Faber Jul 2nd 2011,Brad Tavares,Aaron Simpson,+175,+205,+205,+9.8%▲
UFC 125: Resolution Jan 1st 2011,Brad Tavares,Phil Baroni,-215,-280,-280,-8%▼
UFC: The Ultimate Fighter 11 Finale Jun 19th 2010,Brad Tavares,Seth Baczynski,-240,-220,-220,+2.6%▲
UFC 127: Penn vs. Fitch Feb 26th 2011,Tom Blackledge,Anthony Perosh,-185,-190,-190,-0.9%▼
UFC Fight Night: Vera vs. Cruz Aug 13th 2022,Da'mon Blackshear,Youssef Zalal,+145,+110,+115,-16.1%▼
UFC 285 Mar 4th 2023,Darmon Blackshear,Farid Basharat,+350,+330,+360,-1.8%▼
